final_trans,compound_score,sentiments
recommended application for the younger generation,0.2023,positive
help find reference books,0.4019,positive
log in impatiently read,-0.4019,negative
bug plz be good,0.4939,positive
good app respond,0.4404,positive
borrow a login book via email facebook unknown error uninstall sucks,-0.6369,negative
take advantage of the difficult login apk the signal is stable,0.1779,positive
good error login logout just added a star,0.0516,positive
difficult login connection,-0.3612,negative
best wlw stop cool reading,0.6486,positive
online library help,0.4019,positive
application to help students lack the application of scattered types of book genres good group books easy to find,0.7351,positive
near the library thank you,0.3612,positive
steady provincial library district library easy access find books need additional knowledge of advanced National Centers,0.5994,positive
the ipusnas application can help difficult for ipusnas to disturb,-0.3612,negative
wait for the free book thank you,0.7003,positive
star login help thank you,0.6369,positive
complete update of reference books complete reference books easy for level students to find reference references,0.4404,positive
logout application login difficult,-0.3612,negative
help suggest a lot of student chemistry books,0.4019,positive
its good to update the ipusnas audiobook application suggestions like,0.6597,positive
read thousands of free ebooks ipusnas app,0.5106,positive
the ipusnas application is better uninstalling the college application thank you good application helps collections of science books entertains fiction books applications need to be cleaned up good books complete with basic search features for types of books to make it easy to find reading material for random types of literacy,0.959,positive
application of the benefits of the nations children,0.3818,positive
the nations intelligent aid application,0.4588,positive
bismillah benefits,0.3818,positive
good collection of complete books lags loading login relogin application delete using wi fi good home webtoon wattpad open long borrow and teach briefly borrow a fairly thick book,0.5106,positive
like the login account comfortable reading the book open it thank you,0.8074,positive
thank you literacy aid app,0.3612,positive
free download book borrow books saved on cellphone,0.7269,positive
try to help the application tell me to login,0.4019,positive
good conscience,0.4404,positive
cool to help teach windows in indonesia,0.6124,positive
good help,0.6808,positive
cool read,0.3182,positive
borrow books open data on borrow the ipusnas application stops,-0.1531,negative
good application mai slow version updates tend to load download good signal hours thank you program help,0.875,positive
looking for a lot of popular reference books kls,0.4215,positive
the application helps both login it is difficult to log in via email login response via facebook loading read login then the application benefits uninstall,0.4019,positive
help smart people live easy to find references,0.8074,positive
good application book meeting interest in reading is good,0.8316,positive
appear easy perfect there is an application that helps a large collection of books to be satisfied thank you success,0.9531,positive
crash book download,-0.4019,negative
great collection of complete books,0.6249,positive
Alhamdullah help Ipusnas to be enthusiastic about reading application books error using it this afternoon trying to get an error uninstall reinstall,0.128,positive
try to borrow the book application the stage of the loan the stage of downloading the application uninstall the book automatically borrow reinstall the application thank you,0.3612,positive
the champion of reading manga the book collection is good,0.7783,positive
great ipusnas is very helpful,0.8016,positive
complete suck,-0.4404,negative
Indonesias generation likes to read good innovation young people like to play with cellphones with the application increasing interest in reading Indonesian youth steady,0.9349,positive
good application borrow books easy steps tap nostalgia lively lectures,0.8271,positive
great benefits,0.7717,positive
recommended refill digital literacy,0.2023,positive
Yes in front of the teachers book collection there are many this application is recommended by the Indonesian National Library there are many collections yes,0.7351,positive
cant log in its hard to log in even though I need a solution,0.2263,positive
good edit complete lack of lag thank you the ipusnas team for reading free books,0.6124,positive
I swear the apk was useful for recommended tmn apk gni error its hard to log in try to delete apk install cma results remove quota delete install apus install apk,0.1027,positive
mustaka black background mode option thank you,0.3612,positive
seriously like ipusnas books complete with categories,0.2023,positive
like the application the application for external accounts difficult to read before very easy difficult urgent need a book to use,0.3566,positive
the list of paid applications is difficult for the umpteenth time to be redownloaded still registering,-0.3612,negative
application error is really such an application,-0.4019,negative
the book is quite complete easy to use full features good search features search for the book sample title xyz the result of the book with a different title abc example try different keywords find the book find it thank you,0.8214,positive
the error application opens telling me to log in slow even though it helps me often crashing my cellphone because Im annoyed,-0.4019,negative
the application likes error lazy to open,-0.34,negative
the application helps the benefits of further flowers are satisfied,0.7906,positive
help out dil,0.4019,positive
Thank you Ipusnas prosper Indonesian people are aware of reading stuttering thinking,0.0516,positive
good times login write login,0.4404,positive
easy a lot of literacy,0.4404,positive
good uninstall reinstall sometimes error,0.0516,positive
help fast page scroll feature,0.4019,positive
good app hobby reading sunday account login change account login account read good fast,0.7003,positive
simple help,0.4019,positive
good application access increase literacy good application borrow long books collection of books add features wishlist type google play help read thank you dedication copyright application advice read encourage development ipusnas application,0.9517,positive
application benefits choose a good good book favorite Ipusnas net error system problems interfere with reading Ipusnas good literacy,0.836,positive
error open application need,-0.4019,negative
yesterday error,-0.4019,negative
update access hard to log in good,0.3612,positive
good easy application login,0.7003,positive
its hard to borrow download a good net open the app,0.3612,positive
both the Ipusnas application sense system experienced slow hand problems quickly resolved the use problem,-0.128,negative
good good net hook error add stars,0.4767,positive
friends for leisure,0.4767,positive
easy benefits add insight,0.6705,positive
cool help,0.6124,positive
be aware read teach the world is full of mysteries help read thank you,0.6369,positive
thank you glad Ipusnas brought a hand library,0.8271,positive
good good borrow duration download,0.7003,positive
cool application digital era likes to read helps,0.7717,positive
thank you for helping the perfect application error looking for blank spirit of the National Library,0.7506,positive
lag error for cool application libraries less error lag optimal search features sometimes appropriate more benefits fast access to good information thank you,0.494,positive
its easy for people to find quality books suggestions collections deposit repositories manuscripts and,0.4404,positive
the perfect error assist pull application is smooth and comfortable to use,0.6486,positive
satisfied reading hobby,0.4215,positive
Thank you the Ipusnas digital library helps village colleagues in reading the net application on problems in the field permission to share the application of colleagues from the library Wassalam,0.5574,positive
good good like reading tell the teacher to download using stars,0.8074,positive
difficult even though the application is good,0.1027,positive
applications for the millennial generation both registration is difficult,-0.3612,negative
Borrow to read which book is cool please look for the title of the book in front of the author,0.5574,positive
help me find a book,0.4019,positive
scary,-0.4939,negative
free read,0.5106,positive
good recommend,0.6597,positive
cool sometimes the server is down,0.3182,positive
the percentage of slow reading books sometimes according to the finished reading books the front percentage is good star appreciation,0.7351,positive
login application difficult to observe for free,0.2023,positive
problem login error history of slow borrowing,-0.6597,negative
borrow the wrong book unknown wrote,-0.4767,negative
good,0.4404,positive
complete book error application,-0.4019,negative
good application relogout error is good,0.4767,positive
steady crash,-0.4019,negative
ipusnas app pay money,-0.1027,negative
good error library,0.0516,positive
ipusnas helps book books available for the market maximum borrowing time week week loan history feature help borrow read search for books,0.6486,positive
online library worth the feature level makes it attractive,0.5859,positive
good read easy hobby read,0.7003,positive
special super special books read the secret book of sustenance magnets,0.8519,positive
good application it helps its hard to register repeating reading books its hard to use the application likes to stop please add school books thank you,0.8442,positive
work support,0.4019,positive
the ipusnas application is good diligent in reading applications difficult to open applications unknown errors applications,-0.25,negative
network error borrow login,-0.4019,negative
good applications sometimes help find reference material for lectures applications experience errors in line borrow history the internet connection is good,0.7269,positive
the benefits of reading book collections,0.3818,positive
the national library application helps the intelligentsia of the Indonesian people of the ministerial class the desktop version of the android application is still disabled good honest cool application literacy error lag constraints,0.8176,positive
hard to register,-0.1027,negative
complete book error,-0.4019,negative
hard error,-0.4767,negative
the punctuation mark feature scroll down meet the reading page how good it is easy to read features,0.7003,positive
quite helpful knowledge buy level,0.4754,positive
thank you easy teaching,0.6597,positive
Its a good application it helps books novels confused search titles appear books search the authors name charcoal appears confused looking for the authors title thank you,0.5267,positive
love the book application know and borrow add book collections,0.6369,positive
hard to login using login,-0.1027,negative
Indonesia must install Ipusnas to become sophisticated mobile phones a means of increasing awareness good applications growing interest in reading Indonesian citizens relatively low Ipusnas helps lazy bookstores libraries buys books lazy to read diligently reads reads the benefits of installing applications,0.8519,positive
easy to do tgs,0.4404,positive
Click the genre category an easy reference book appears,0.4404,positive
happy to read the type of book unknown error good reading application error,0.296,positive
good server access to emotional,0.5423,positive
thanks the application helps easy book access rarely stops the application the net application runs smoothly in front of the application always updates literacy books,0.8336,positive
great spaceguru,0.6249,positive
happy various references in,0.5719,positive
unknown error appears the list of books login error closes the fast home wifi net the condition of the cellphone memory is loose its good to borrow books for free thank you,0.25,positive
loading error,-0.4019,negative
error application is difficult to log in fast good,-0.3182,negative
good application hard to enter,0.3612,positive
bad upgrade application use,-0.5423,negative
help logout borrow a lost book,0.1027,positive
book stable benefits,0.5859,positive
Thank you National Library of Indonesia cool application complete collection of servers,0.5859,positive
like logging out using fast wifi logging in to read a book,0.3612,positive
secure data,0.34,positive
ipusnas is good likes to read books lazy to buy books applications are complicated bring books smart phones recommended application,0.7717,positive
like Ipusnas the search process is fast choose a book look for it,0.3612,positive
thank you ipusnas good app,0.6597,positive
like this,0.3612,positive
good entry difficult,0.1027,positive
good waiting new,0.4404,positive
good like the library application read books application collection comfortable level national library spirit flower application ahead,0.8555,positive
the server is ready for full maintenance the service level agreement its better to replace the official national library great private app development access,0.9136,positive
good looking for insightful applications easy roads problems reconnecting books,0.4767,positive
login error remove apk the borrowed book account is lost,-0.6124,negative
search for books can borrow queue borrow the quality level of the application the application of the benefits helps,0.6369,positive
academic book ready,0.3612,positive
good creation benefits,0.765,positive
like book,0.3612,positive
download thank you answer,0.3612,positive
good application help wrong application good application,0.6597,positive
rising stars the application is difficult to open the net using fast wifi the signal for watching you tube runs smoothly,-0.3612,negative
Bismillah please help,0.6124,positive
reading model is really comfortable reading model,0.5563,positive
books that are ready to pull borrow and borrow books the weight error of the regional signal goes down,-0.0516,negative
download sorry net good write net delete play store app,0.6124,positive
login try resetting password try password good literacy,0.4404,positive
updates are difficult to log in it is difficult to find the category of application books help appreciation less mention of the minus value fast good thank you,0.8316,positive
sometimes good login,0.4404,positive
good book tell me to log in before logging in remember to change the system error good,0.4767,positive
apk buy books please,0.3182,positive
like the application help books complete updates difficult to access books loading fails network timeouts good nets fast borrowing access,0.4215,positive
help people living in eastern Indonesia,0.4019,positive
benefits of complete facet level books easy to find books,0.6705,positive
good book application likes errors sometimes reregistration is good,0.7351,positive
the benefits of adding knowledge,0.3818,positive
login open the application error unknown error,-0.6597,negative
borrow fast take long borrow a book thank you,0.3612,positive
cool,0.3182,positive
help read dialectics,0.4019,positive
the benefits of references are difficult to buy physical books like to read,0.3818,positive
borrow books read delete ok,0.296,positive
good application follow the quality of the application it is difficult to error find a good book category with a quality level,0.1531,positive
cool benefits,0.5994,positive
good easy to find books like to logout lost borrowed books,0.7184,positive
good app help search,0.6808,positive
like books want to read read thank you,0.6486,positive
login times toling good good app like,0.8074,positive
good app love lots of books out,0.7964,positive
success,0.5719,positive
difficult to read must borrow,-0.3612,negative
easy access to read the mobility of the library,0.4404,positive
help read student recommendations looking for application references,0.4019,positive
Thank you the Ipusnas application is stable the application adds insight into the knowledge of the Indonesian people the benefits,0.743,positive
nice application the benefits of the fast scroll button are difficult to scroll the page,0.4404,positive
good support looking for references,0.6808,positive
spirit,0.1779,positive
login write unknown error cellphone internet stable condition good,0.34,positive
good looking for references,0.4404,positive
login problem login application help login good application system good read,0.7003,positive
auto stop,-0.296,negative
like ipusnas easy to read borrowed books,0.6597,positive
help the ipusnas application read incoming source books borrow books download insya ipusnas contribute to the level of interest in young peoples literacy thank you,0.802,positive
easy community,0.4404,positive
application to help like reading books,0.6369,positive
good I use the application,0.4404,positive
login to borrow a new book the error application reads an account its hard to log in to find a new limit its done Im disappointed,-0.7351,negative
ok open borrow book click,0.296,positive
Applications to help teach young people of Indonesia reading culture technology literacy literacy genre,0.4019,positive
good level of performance benefits,0.6705,positive
help by refer to efficient flower application,0.6705,positive
Wrong source for reading Ipusnas short loans wasteful quota for rebooking must be limited,-0.6124,negative
thanks to ipusnas helping useful books add insight and knowledge to motivate,0.8625,positive
easy practical economical,0.4404,positive
Suggestions for borrowing Ipusnas books to add a week term over all is good,0.4404,positive
good pull book,0.4404,positive
love good books,0.7964,positive
good app more to know,0.4404,positive
very good help find references to book titles at the level of application features,0.7328,positive
longterm loan future benefit application thank you,0.6705,positive
sorry to make a careful honest proposal Ipusnas helps to find references sometimes books are rarely bright the city is published the book is published by Ipusnas plagiarism the complete identity of the published book the title of the published city,0.5851,positive
bad update,-0.5423,negative
beneficial,0.4404,positive
the benefits of memory books that have been borrowed internal memory are sold out,0.3818,positive
good app,0.4404,positive
love the complete ipusnas collection,0.6369,positive
cool book reference app,0.3182,positive
cell phone borrow the good flower team book,0.4404,positive
the application helps find book references sometimes its difficult to copy books theyre out of borrowed like to help,0.6486,positive
the application helps find books collections of books many books,0.3818,positive
good sometimes like to close,0.6597,positive
sorry for writing network time out miss miss reading Indonesian good comfortable,0.5719,positive
good app like error,0.4019,positive
cool happy to read harlequin novels buy cheap books,0.7184,positive
cool app worth installing,0.4939,positive
literacy thank you application benefits advanced means tools find color markers write books download think benefits,0.8271,positive
thank you Uncle,0.3612,positive
Thank you I hope the tempo of borrowing a collection of good books is added,0.8074,positive
Applications to help love people advice books history books history of Islamic etiquette,0.7845,positive
love lot errors,0.4215,positive
the ipusnas application is easy to find reference books,0.4404,positive
just comfortable thanks to the library for the help application,0.836,positive
reading rate thank you,0.3612,positive
service for the smart level of the nations children,0.4019,positive
complete sometimes error,-0.4019,negative
good lots of books visual communication design graphic design from local print added literacy young Indonesian designers anti screenshot features originality writing prices thank you ipusnas,0.4767,positive
hard to login using facebook email,-0.1027,negative
good help ipusnas,0.6808,positive
good for offline borrowing,0.34,positive
help find advice books lots of student reference books,0.4019,positive
nice many books,0.4215,positive
good add borrow,0.4404,positive
Interested in reading add an updated book,0.4019,positive
modern digital reading solution,0.3182,positive
good application good loading application loading rang thank you,0.8074,positive
good for building public literacy interest,0.7096,positive
love weight book,0.6369,positive
good help open insight books complete books bugs books good reading pages sometimes get messy,0.7184,positive
thank you the application helps the collection of Islamic books added,0.6249,positive
wallet supports buying books at low prices Ipusnas is wrong alternative to reading original books avoid steel books,-0.3818,negative
quick benefit,0.4588,positive
feels like a private pussy thank you ipusnas,0.6124,positive
Im happy with the application looking for references for easy lectures books thank you Jokowi,0.8442,positive
good rich level rich book collection of the nations living intelligent element power book,0.9201,positive
thank you reading book,0.3612,positive
the benefits of students having money,0.3818,positive
cool,0.3182,positive
nice app like a library,0.6486,positive
search book benefits,0.3818,positive
read book app book ready,0.3612,positive
easy application to find borrow books,0.4404,positive
ipusnas you international journal books ready,0.3612,positive
complete books complete library complete sucks,-0.3612,negative
help increase literacy to support college activities,0.7717,positive
good good,0.7003,positive
Applications that help easily find books like National Library of Indonesia borrow long books read finished borrow short books thank you respectfully,0.8957,positive
many books run smoothly open apps enthusiasm to read books read hoax status,0.2023,positive
error updated,-0.4019,negative
useful app,0.4404,positive
help,0.4019,positive
cool application add books cool books to read,0.5574,positive
Thank you Ipusnas for helping me find sources for reading history books,0.5719,positive
good application collection of translated bestseller novels like many collections,0.6597,positive
help the Ipusnas application application I am amazed I like reading I am very happy the application friends tell me to download the Iming Imingi an educational application thank you for,0.9516,positive
critical,-0.3182,negative
help find reference books add insight into recommended benefits applications,0.7269,positive
many collections thank you indonesia love you,0.7717,positive
nerds love apps,0.6369,positive
cool cool useful,0.7579,positive
good sometimes like slow app refresh books help read actively thank you ipusnas,0.8979,positive
good easy to read atmosphere,0.7003,positive
the application helps to read novels bookstores buy it thank you,0.6249,positive
login try using facebook email help,0.4019,positive
good library,0.4404,positive
help hobby applications read books application performance levels bugs slow logins wifi nets many old novels successful ipusnas,0.7579,positive
great collection of help,0.7783,positive
fully recommended reading,0.2716,positive
member of elibrary good application borrow books join elibrary,0.6249,positive
its difficult for facebook applications to open emails to log in read books borrow power find books meet good applications,0.1027,positive
update logout login appears the words unknown error email password read books,-0.4019,negative
good app unfortunately its hard to login app service level thank you,0.3818,positive
crazy error,-0.6249,negative
cool must install,0.3182,positive
good net lot,0.4404,positive
good natural application login application tomorrow login borrow books read borrow pay attention application help find college references,0.7717,positive
sorry ipunas app is good login is difficult,0.0258,positive
Its fun to read books sometimes its a bit of an error,0.1531,positive
excuse me its hard to log in to the solution login account thank you,0.5719,positive
Honestly the stars of the application are really really good love to read books find true life laboratories teach reading keep reading,0.9327,positive
why is it hard to log in,-0.1027,negative
good read for free,0.7351,positive
loading open books fast sometimes open errors,-0.34,negative
good application I have borrowed the basic books Im sorry I downloaded the Ipusnas science application,0.3818,positive
I like the complete book collection Request please theres a Fear Street Goosebumps series by Stine Help,0.5106,positive
ipusnas open an account its hard to log in read the ipusnas help book,0.3182,positive
lazy application download login open login login wait press times,-0.3612,negative
download the book open the ipusnas application stop,-0.296,negative
happy the application is easy to find the books you need,0.765,positive
great benefits of many books plus offline mode,0.7351,positive
good not in front of the application adding a cool collection,0.6369,positive
sorry looking for the complete book wrong thank you,-0.2263,negative
difficult install,-0.3612,negative
good application read satisfied application error lazy verification email good application source of writing knowledge,0.5267,positive
love app add book collection,0.6369,positive
great ipusnas love you,0.8519,positive
open the gmail login error application the borrowed book is lost help,-0.3182,negative
lecture references add references to fairy tales dizzy meet and miss Indonesian poetry,-0.3612,negative
borrow books save applications borrow books registration complicated lot uninstall,0.4939,positive
ouch the error application cooks the login application its good,0.0516,positive
good application hard to load like,0.6124,positive
thank you for understanding,0.3612,positive
I like reading books online the problem is that I have to log in sometimes with an email pass,-0.0516,negative
good effective,0.7184,positive
very disappointed thinking login error,-0.7264,negative
good sometimes the login error is logged in the automatic error is lost the book is lost love the automatic search page tired of scrolling the day of the book limit thank you emezing,-0.3182,negative
error I open the service,-0.4019,negative
the application of the new wrong of the Indonesian people to the level of literacy in the framework of the industrial revolution,-0.4767,negative
steady benefits of literacy level,0.3818,positive
history books have translated the national literature of the plato republic of herodotus historie ibn arab fushus alhikam ibn khaldun muqadimmah ibn tufail bin yaqdzan athaillah hikam iqbal reconstruction of islamic thought machiavelli discourse art war montesquieu spirit laws freud interpretation dreams hawking brief history time grand design carl sagan ken wilber complete literature nobel pulitzer booker,0.3612,positive
good application complete fantasy novels complete series court frost star light novels by sarah maas available throne glass series novels wait thanks,0.7003,positive
ok server error,-0.128,negative
for Ipusnas the upgrade plan application is good the rating is bad the rating is up the wifi net the good application is the bad upgrade,-0.296,negative
collection of good books login logout subagio sastrowardoyo books ready,0.6597,positive
ipusnas application benefits applications need to be able to log in problems,-0.0258,negative
help the application stop logging in uninstall reinstall both applications the benefits of growing public interest in reading,0.7783,positive
application to help borrow login,0.4019,positive
what a benefit belongs to the download tool buy permanent books book reading limits applications thank you,0.6705,positive
cool app recommendation active dark background thank you,0.7579,positive
thank you the ipusnas app is good,0.6597,positive
the book search feature is good try looking for books borrowed from books,0.4404,positive
the maintenance application rarely updates even though bugs are scattered read the book open the book the app close the book thank you,0.3612,positive
good easy to know easy,0.8271,positive
application error login I just read the error uninstall reinstall login reset password good application good error benefits,0.0772,positive
good login open bug,0.4404,positive
good point ipusnas new features like like feature function example point button right corner click appears easy command bar appears command scroll book command bar appears quite annoying,0.7787,positive
happy to read the application helps error is difficult to relogin using a different cellphone sometimes login downloads the book dear good quality,0.765,positive
good for helping literacy levels read complete book collections of past history books,0.6249,positive
sorry reinstalling the ipusnas application login login profile email account appears borrowing history clean profile newbie account profile back,0.34,positive
open logout login then throw away the front like the mandatory application thank you ipusnas for the collection of novel updates,0.765,positive
dear register,0.3818,positive
modern library full of comfortable facilities,0.5106,positive
ipusnas error or fake app,-0.7003,negative
good application good login,0.7003,positive
connection problem,-0.4019,negative
apk good error loading omaygat apk cool easy media likes to read kea is super busy ok Im in love apk,0.9552,positive
thank you for the feedback borrow the book auto logout register help,0.6369,positive
application idea execution org login error login via facebook via email good,0.0516,positive
like logging in,0.3612,positive
good app needs new server error,0.0516,positive
cool read quality for free,0.6808,positive
Prosperous Ipusnas sorry Ipusnas application star experienced problems logging in to gmail account Facebook account the completion of the collection of literary history books the problem was completed happy to star thank you for,0.5574,positive
application difficult to login good signal popular novel good to read,0.8126,positive
good star in star,0.4404,positive
good application user friendly logout,0.7269,positive
like logging out its complicated to read login,0.3612,positive
application benefits login updates,0.3818,positive
easy to read,0.4404,positive
install login good comments help thank you,0.7964,positive
good favorite book ask for suggestion add feature find name published easy to read likes to forget the title write name,0.8658,positive
good apk level searching feature,0.4404,positive
social media application promotion thinking for friends to compose a login thesis duh,0.4767,positive
good app suggestions add icon save favorite books books collection books easy read find reread reading books,0.9001,positive
love it,0.6369,positive
community reading interest level application,0.4588,positive
hard to connect facebook account email read disappointed download apk,-0.5423,negative
bad facebook email list,-0.5423,negative
install login via facebook email good thank you,0.6597,positive
smart reading adds school value,0.6249,positive
its hard to log in automatic login is good,0.3612,positive
friday in february the app is down sunny,0.4215,positive
sad login error,-0.7003,negative
nice love to read pass this app,0.7906,positive
borrow a good book the application server helps like errors,0.6808,positive
good lecture reference books especially biology science campus libraries minimal textbooks need help applications,0.6808,positive
confused looking for a book,-0.3182,negative
great collection of good books good applications for todays children bookstores if you search the internet know the application for promoting books windows of the world,0.9081,positive
difficult account login facebook email reading Ipusnas book smooth connection,-0.3612,negative
the app is slow its hard to log in the borrowed book is lost,-0.4019,negative
good job increase,0.6369,positive
ok application open book server error thought internet check package refresh,-0.128,negative
the rich benefits of the national digital collection belonging to an advanced nation public literacy,0.802,positive
satisfied with the ipunas application the collection of updated books,0.4215,positive
Thank you the capslock flower library has been broken Im happy,0.4767,positive
great help pussy ready reading material ready,0.8957,positive
like practical login errors,0.0258,positive
Thank you for the Ipusnas application the level of interest in reading books improves in terms of fast performance the process of using it is a fast access application,0.8074,positive
login application ask to login load good data good application,0.7003,positive
dear ipusnas open reading satisfied star suggest looking for book pages read while reading breaks open thnx ipusnas cool,0.7717,positive
unknown error Im glad I finished installing PHP at the end,0.0772,positive
login login is difficult it appears clear unknown error,-0.3818,negative
ipusnas login error is smooth whats wrong with logging in and borrowing books,-0.7003,negative
benefits of reading,0.3818,positive
annoyed the application logout the application open the login the contents of the email the password geming is easy the registration of the email the account is convenient,0.0772,positive
login no response help know,-0.5358,negative
open the link set password reset its not bad the application is advanced try the application the benefits of the process are not good,0.6179,positive
great app,0.6249,positive
dear manage ipusnas good application easy to read books application quality error sometimes login sometimes access books thank you,0.802,positive
loading try logging out of account uninstall installed internet app open smoothly using wifi using data package sad read sometimes like star error love,0.2263,positive
ipusnas application problem logout return borrowed books delete install login normal application suggestions,-0.4019,negative
borrow error loading error signal fast,-0.6597,negative
failed to load the application update manage seriously,-0.6124,negative
good smooth,0.4404,positive
nice app app,0.4215,positive
login disappointed the application likes to find books easy login try today,0.3818,positive
application to help love reading,0.7845,positive
the application is difficult to connect to the internet net the internet is stable open the application,-0.0772,negative
the app helps heavy ultrasound carry a book with the effect of borrowing advice,0.3818,positive
help easily find thesis materials,0.6249,positive
good application helps find books for basic literature college assignments help find books bookstores rarely meet friends meet sis thank you application,0.799,positive
help find a complete source help thank you,0.7845,positive
cool buy books online,0.3182,positive
application benefits add insight,0.3818,positive
useful applications sometimes like stopping applications looking for sad book titles,0.1779,positive
cool audiobook blind friends,0.4019,positive
install the login app select login using facebook wait thank you,0.3612,positive
help mental health literacy,0.4019,positive
help find complete books,0.4019,positive
good minimal linguistic book,0.4404,positive
love to read books,0.6369,positive
good app update new book thank you,0.6597,positive
new good app access,0.4404,positive
great collection,0.6249,positive
good application help advance suggestions add popular book features read thank you,0.872,positive
its difficult to practically open the uninstall,-0.3612,negative
good online library,0.4404,positive
the title of the narcotics nervous system medicine book wait for the copy even though,-0.2732,negative
cool app level,0.3182,positive
some cool applications honestly the book updates are pretty fast its easy to find a book its tricky to find a keyword sometimes search using the title write name logout safe secure login launch,0.9337,positive
help install the countrys reading culture,0.4019,positive
cool update,0.3182,positive
borrow the password book its hard to say wrong change the application password,-0.5423,negative
android application force close logout is good the main display is material design thank you,0.6597,positive
good good ready punctuation font measure,0.8074,positive
good help good server error its hard to borrow a book very helpful thank you,0.8826,positive
wrong loading of book details good fast wifi,-0.0516,negative
check strong wifi network error thank you,0.4767,positive
benefits of account logout login,0.3818,positive
Novel book with dead title write Arumi added,-0.4588,negative
the application is very cool thank you ipusnas,0.6566,positive
login facebook account wait waiting hours change solution,0.3182,positive
hard to log in to the National Center,-0.1027,negative
cooking bug login application annoyed,-0.3818,negative
application benefits suggestions application level basic search anga title charcoal add search book pages read difficult skip pages a large collection of student books when the application needs thank you,0.3818,positive
updating good searching is hard,0.3612,positive
it is recommended that prospective priests order them to read a book about baperan,0.2023,positive
good help science literature,0.6808,positive
refresh thank you cool app install poko,0.5859,positive
complete collection close update problem,-0.4019,negative
baguuuussss apk bergna thank you qtaz ipusnas ipusnas good,0.6597,positive
good jos,0.4404,positive
dear ipusnas application the cellphone is a bit fussy the cellphone checks the notification the notification opens it is empty the title of the book search engine the example of the book netty virgiantini gemblongers good browsing thank you,0.7351,positive
Read Hiromi Shinyas Miracle Microbial Book application book title,0.5859,positive
show off thank you,0.3612,positive
easy pull to read the nations literacy level,0.4404,positive
hook teacher task assistance application needs supporting literature,0.4404,positive
good like good error book sample book am malala read,0.6808,positive
good application helps a large collection of published books,0.6705,positive
the application helps find reference references complete assignments ask questions open the email application try,0.3818,positive
good bug irritated app close,-0.0258,negative
dear ipusnas thank you for coming to help borrow,0.7783,positive
the book of distractions has no good words read quickly read,-0.5277,negative
help page number ebook original book,0.6486,positive
help satisfied,0.6705,positive
new ipusnas advice to like fantasteen series books add a collection of fantasteen books published by mizan thank you ipusnas,0.6124,positive
meeting the problem of desktop version reader showing the contents of the windows book,-0.4019,negative
help teach reading,0.4019,positive
error teroos,-0.4019,negative
easy facebook email login pull application good,0.7003,positive
hard to log in change device,-0.1027,negative
network error,-0.4019,negative
disappointed error,-0.7003,negative
fix the application compose the application thesis help find references,0.4019,positive
login unknown error reinstall cellphone read bad cellphone book samsung tab friends give login using facebook wait for hours told to wait for login using kasiam mental email,-0.4767,negative
install login unknown error login facebook via email read read,-0.4019,negative
failed login unknown error,-0.7184,negative
report network time out data delete download delete download login suggestion thank you,0.3612,positive
Donwload rich application benefits,0.7351,positive
wrong nerkwort timeout annoyed,-0.6908,negative
cool application complete collection of books complete series of lockwood co series jonathan stroud serial series lorien legacy am number four by pittacus lore series series how good the books are hard to find the market shows the collection of the library coralline neil gaiman abarat clive barker,0.6249,positive
thank you for borrowing the book,0.3612,positive
ipusnas is a good application for teaching students,0.4404,positive
benefits of additional knowledge,0.3818,positive
a large collection of history love the app,0.6369,positive
add the novel mariposa author of the novel luluk hf,0.5574,positive
Start using Ipusnas your recommendation the benefits of adding insight knowledge thank you,0.6249,positive
cool application ideas like to download downloaded applications open the application application stuck Ipusnas page logo progress try times the internet signal is smooth thank you help,0.8689,positive
I like the application I like reading books I like to just borrow wait for the download finish reading add offline reading Suggestions for borrowing a maximum of a week fast reading but overall good Ipusnas is good cool advanced Indonesian literacy,0.9446,positive
Romance domination fiction added fantasy category for rang data browsing fiction category after download,0.5267,positive
Proud of the hassle library application to add to the Korean language collection,0.4767,positive
mandatory mandatory download recommended feature search scroll page,0.34,positive
complete collection of novel updates,0.3182,positive
good apps to download need a page to waste good steps the rest of the quality compares to other types of apps,0.4588,positive
the application helps the nations children to be tenacious read bli books and bookstores its easy to manage power,0.6705,positive
install the wrong application unknown error good error,-0.6808,negative
login account using email like the app,0.3612,positive
add novels translated novels laura inalls wilder good story series read family thank you,0.6597,positive
ipunas is hard to open a cellphone,-0.1027,negative
love to help a lot of books,0.7845,positive
login results access books borrow access to the ipusnas app account follow join login password list no results show unknown error internet connection good condition borrow book lelet unknown error bright,0.1027,positive
Im sorry yesterdays update was difficult to log in to facebook unknown sorry,-0.4767,negative
member list free library member,0.5106,positive
a teaching aid application what a search page find the title of the book of ethics the name of the charcoal novel the novel update for the novel add the published novel thank you,0.8658,positive
choose to buy expensive original steel books ipusnas ori for free qwqwqw,0.6808,positive
the application helps find the book the results of the search for the book the key please appear thank you,0.7506,positive
Pubg ml smart benefit app spends smart quota recommendations for smart smart smart phones,0.9382,positive
like the complete collection of health fields add midwife books miin foster midwives for children,0.3612,positive
good application recommended books download students download use a password download books borrow books sell out sell out download books thank you,0.7351,positive
help reference scientific papers both the performance level of the application often closes,0.4019,positive
sometimes there are problems with logging in either book,-0.4019,negative
try the novel by andrea hirata,0.3182,positive
update scroll down text bookmark book page page by chapter weird thank you so much ipusnas read free books legal,0.6808,positive
